lookback,entry,exit,stop_loss,top_n,rebal,tc,ann_ret,ann_vol,sharpe,max_dd,win_rate,n_trades
20,2.0,0.0,4.0,5,Daily,0% (no cost),0.040521981361728354,0.1567609917428944,0.2584953113092634,-0.38036904767785407,0.504410585404972,1933
60,1.5,0.5,3.0,10,Daily,0% (no cost),0.03891818108315632,0.1506894849211951,0.2582673973801759,-0.35579075963631734,0.4906275468622657,1533
60,2.0,0.0,3.0,10,Daily,0% (no cost),0.039986695733162624,0.15488419733008496,0.2581715657404614,-0.3491351009908451,0.4889975550122249,1258
20,2.0,0.0,4.0,3,Daily,0% (no cost),0.040184729272278785,0.15578303288439602,0.257953183528653,-0.38356852109660655,0.5028067361668003,1938
126,1.5,0.5,4.0,3,Daily,0% (no cost),0.038007020678963804,0.14755699004694497,0.2575751963148065,-0.26744825896089197,0.48199329983249584,1017
126,1.0,0.5,4.0,3,2x/Month,0% (no cost),0.03725376577404976,0.14532628410429535,0.25634568449650924,-0.24140408635024813,0.4825849769198489,730
60,2.0,0.0,3.0,5,Daily,0% (no cost),0.039260449754508216,0.15353645207521951,0.2557076786903608,-0.32274185491605145,0.48818255908720454,1257
60,1.0,0.5,3.0,10,2x/Month,0% (no cost),0.03938212140869325,0.15402525461645303,0.25568613086705094,-0.25965002624657785,0.4883815735833673,1197
60,2.5,0.0,3.0,3,Daily,0% (no cost),0.04211587270132994,0.16514520309727526,0.2550232880607648,-0.4090735155399078,0.48613376835236544,901
20,1.5,0.0,3.0,10,Monthly,0% (no cost),0.052794238316471474,0.20813312891324628,0.2536561026691579,-0.3439735186983395,0.5046235138705416,697
60,2.5,0.5,4.0,5,Monthly,0% (no cost),0.06628759586333412,0.26243435614929655,0.2525873396912396,-0.3872107330164454,0.5086705202312138,188
60,1.5,0.0,3.0,10,2x/Month,0% (no cost),0.039834357878519744,0.15921667128475125,0.2501896161820764,-0.2537775214317797,0.48797390949857317,1007
20,1.5,0.5,3.0,10,Daily,0% (no cost),0.03744291360419623,0.1501567948977445,0.24935876947623006,-0.3620731736183952,0.4955894145950281,2195
20,1.5,0.5,4.0,3,Monthly,0% (no cost),0.05410936161917985,0.21860456159963743,0.24752164924297532,-0.3046865702666043,0.5094594594594595,514
126,1.5,0.5,3.0,5,Daily,0% (no cost),0.037594315036709125,0.15211723517783593,0.24714040452259523,-0.3227457929887686,0.4824120603015075,1022
60,2.5,0.5,3.0,3,Monthly,0.1% (realistic),0.06467578251900806,0.26173104624824145,0.24710779804725827,-0.4055717018615257,0.5172004744958482,193
20,1.5,0.5,4.0,10,Daily,0% (no cost),0.0369775857153065,0.15017447457363428,0.2462308313066577,-0.36176004672667095,0.4955894145950281,2191
126,1.5,0.5,3.0,10,Daily,0% (no cost),0.037871454558949864,0.15399134184526925,0.2459323628532516,-0.29993303993840237,0.48199329983249584,1012
126,1.0,0.5,3.0,3,2x/Month,0% (no cost),0.03378595188601572,0.13743785069981312,0.24582712632642806,-0.26382497482374456,0.4873310810810811,799
20,2.0,0.0,3.0,3,Daily,0% (no cost),0.0383884936470399,0.15625883943131336,0.24567246107004598,-0.39871123785675056,0.5024057738572574,1942
126,1.0,0.5,3.0,10,Daily,0% (no cost),0.03559134102739811,0.14619964677129513,0.24344341325991578,-0.2879180501600761,0.4849246231155779,1275
126,1.0,0.5,3.0,5,Daily,0% (no cost),0.03497887113660421,0.14432433402472275,0.24236294851436715,-0.3125102027990967,0.4849246231155779,1283
